Column1,latitude,longitude,location
1,34.145343,-84.07925,"Island Ford Road Northeast, Sugar Hill,  Georgia, 30041"
2,34.15078,-84.07762700000001,"Pass Road, Lake Forest,  Georgia, 30518"
3,33.893942,-84.311995,"Sexton Woods Drive, Chamblee,  Georgia, 30341"
4,34.159544,-84.085418,"Talmon Court,  Georgia, 30041"
5,33.895165,-84.312909,"Keswick Drive, Chamblee,  Georgia, 30341"
6,34.175254,-84.096479,"Samples Road,  Georgia, 30041"
7,33.894973,-84.313418,"Keswick Drive, Chamblee,  Georgia, 30341"
8,33.89515,-84.31322400000001,"Keswick Drive, Chamblee,  Georgia, 30341"
9,33.895285,-84.31299,"Keswick Drive, Chamblee,  Georgia, 30341"
10,33.895049,-84.31324600000001,"Keswick Drive, Chamblee,  Georgia, 30341"
11,33.89486,-84.313332,"Keswick Drive, Chamblee,  Georgia, 30341"
12,33.89062,-84.315224,"Keswick Drive, Chamblee,  Georgia, 30341"
13,33.874454,-84.329576,"Peachtree Road Northeast, Brookhaven,  Georgia, 30319"
14,33.857824,-84.342654,"Peachtree Road Northeast, Brookhaven,  Georgia, 30319"
15,33.857598,-84.34347200000001,"Starbucks, Peachtree Road Northeast, Brookhaven,  Georgia, 30319"
16,33.857532,-84.34358400000001,"Starbucks, Peachtree Road Northeast, Brookhaven,  Georgia, 30319"
17,33.855469,-84.35215700000001,"3694, Kingsboro Road Northeast, Buckhead, Atlanta,  Georgia, 30319"
18,33.8471,-84.367829,"2, GA 400, Buckhead, Atlanta,  Georgia, 30326"
19,33.84518,-84.371262,"Terminus 10 Place, 3325, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
20,33.845317,-84.371227,"Terminus 10 Place, 3325, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
21,33.845303,-84.371117,"Terminus 10 Place, 3325, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
22,33.845263,-84.371284,"Terminus 10 Place, 3325, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
23,34.159413,-84.08643600000001,"Talmon Court,  Georgia, 30041"
24,33.845184,-84.371053,"Terminus 10 Place, 3325, Piedmont Road Northeast, Buckhead, Atlanta,  Georgia, 30305"
25,34.159408,-84.08647000000001,"Talmon Court,  Georgia, 30041"
26,34.163569,-84.08417300000001,"Birchwood Court,  Georgia, 30041"
